Area,Perimeter,Length,Width,AspectRation,Class,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Eccentricity,Color
28734,638.018,200.5247957,182.7344194,1.097356461,SEKER,29172,191.2727505,0.783968133,0.984985603,0.887033637,0.953860842,0.006978659,0.003563624,0.909850506,0.998430331,0.411785251,
30140,620.134,201.8478822,190.2792788,1.06079802,SEKER,30417,195.896503,0.773098035,0.99089325,0.984877069,0.970515523,0.00669701,0.003664972,0.941900381,0.999166059,0.333679658,
30279,634.927,212.5605564,181.5101816,1.171066849,SEKER,30600,196.3477022,0.775688485,0.989509804,0.943851783,0.923725952,0.007020065,0.003152779,0.853269634,0.999235781,0.52040066,
30477,670.033,211.0501553,184.0390501,1.146768336,SEKER,30970,196.9886332,0.762401501,0.984081369,0.853079869,0.933373552,0.006924899,0.003242016,0.871186188,0.999048736,0.489477894,
30519,629.727,212.9967551,182.7372038,1.165590535,SEKER,30847,197.1243203,0.770681818,0.989366875,0.967109244,0.925480392,0.006979152,0.003158285,0.856513956,0.99834456,0.513759558,
30834,631.934,217.2278128,180.8974686,1.2008339,SEKER,31120,198.1390121,0.783682806,0.990809769,0.97027823,0.91212543,0.007045074,0.00300804,0.8319728,0.999061142,0.553642225,
31091,638.558,210.4862549,188.3268476,1.117664622,SEKER,31458,198.9630385,0.786377317,0.988333651,0.958172836,0.945254305,0.006770006,0.003333984,0.8935057,0.998639711,0.446621924,
31158,642.626,216.4848362,183.6443122,1.178826797,SEKER,31492,199.1773023,0.798759229,0.989394132,0.948119004,0.92005198,0.00694797,0.003071052,0.846495646,0.997871751,0.529514251,
31202,644.454,215.6406947,184.4716842,1.168963657,SEKER,31573,199.3178875,0.779192888,0.988249454,0.944079243,0.924305534,0.006911118,0.003111647,0.85434072,0.998693253,0.517871223,
31530,638.857,213.7856543,188.0664823,1.136755746,SEKER,31791,200.3627781,0.768949371,0.991790129,0.970792739,0.937213391,0.006780389,0.003226921,0.878368941,0.99849094,0.475535642,
